ImageId,WKT_Pix
AOI_4_Shanghai_img1920,"LINESTRING (0.00 177.57, 5.30 176.82)"
AOI_4_Shanghai_img1920,"LINESTRING (1300.00 284.39, 1164.70 299.17, 1091.21 307.19, 776.71 343.62, 649.38 358.36, 521.09 372.68, 473.97 377.91, 303.28 396.83, 125.97 417.81, 0.00 432.72)"
AOI_4_Shanghai_img1920,"LINESTRING (0.00 638.69, 36.89 628.72, 61.30 623.81, 141.72 615.21, 228.84 731.87, 228.84 744.56, 181.93 755.20, 161.83 777.71, 153.21 824.79, 174.75 857.94, 214.96 874.32, 261.87 868.59, 293.47 840.75, 300.17 802.27, 291.55 778.53, 245.60 746.61, 228.84 744.56)"
AOI_4_Shanghai_img1920,"LINESTRING (93.61 254.80, 85.48 217.14, 64.89 126.27, 39.04 26.40, 30.82 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (93.61 254.80, 109.41 326.02, 121.38 373.50, 125.97 417.81)"
AOI_4_Shanghai_img1920,"LINESTRING (266.90 233.10, 227.65 233.51, 188.87 238.84, 93.61 254.80)"
AOI_4_Shanghai_img1920,"LINESTRING (142.67 1300.00, 140.29 1289.99, 123.53 1225.32, 110.61 1172.92, 85.24 1144.27, 135.02 1134.04, 329.85 1110.30)"
AOI_4_Shanghai_img1920,"LINESTRING (447.20 168.88, 425.83 192.17, 416.25 209.77, 364.08 217.14, 351.15 218.78, 326.26 220.82, 312.38 228.19, 266.90 233.10, 233.39 215.91)"
AOI_4_Shanghai_img1920,"LINESTRING (410.36 79.58, 282.22 116.04)"
AOI_4_Shanghai_img1920,"LINESTRING (423.91 140.60, 293.23 178.26)"
AOI_4_Shanghai_img1920,"LINESTRING (329.85 1110.30, 347.56 1176.61)"
AOI_4_Shanghai_img1920,"LINESTRING (329.85 1110.30, 353.30 1100.06, 379.63 1086.56, 407.88 1066.09, 512.78 1041.62, 576.38 1026.79)"
AOI_4_Shanghai_img1920,"LINESTRING (352.68 0.00, 361.68 22.71, 387.91 16.45, 414.82 10.02, 425.35 16.98, 446.89 10.84, 494.03 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (387.91 16.45, 401.89 54.64, 410.36 79.58, 414.82 92.71, 423.91 140.60, 438.27 164.75, 447.20 168.88, 461.25 175.39, 511.51 169.25, 562.86 151.30)"
AOI_4_Shanghai_img1920,"LINESTRING (608.45 955.98, 577.57 970.30, 551.72 978.70, 525.16 985.86, 486.86 995.48, 453.11 972.15, 399.50 976.24)"
AOI_4_Shanghai_img1920,"LINESTRING (449.71 1300.00, 450.96 1299.82, 528.03 1285.49, 547.65 1278.53, 539.99 1211.81, 550.53 1184.80, 544.30 1156.55, 526.59 1098.43, 512.78 1041.62)"
AOI_4_Shanghai_img1920,"LINESTRING (761.64 634.94, 666.61 657.58, 530.66 687.46, 467.47 702.60)"
AOI_4_Shanghai_img1920,"LINESTRING (492.60 436.13, 478.00 450.46, 471.78 465.60, 488.06 509.81, 692.81 461.82)"
AOI_4_Shanghai_img1920,"LINESTRING (1031.98 1300.00, 1024.91 1280.58, 959.30 1120.50, 930.13 1049.31, 910.50 999.49, 882.51 928.48, 871.25 899.90, 862.13 877.85, 833.86 809.52, 789.21 701.60, 761.64 634.94, 735.78 572.44, 733.04 565.37, 692.81 461.82, 690.78 456.60, 664.45 429.58, 641.48 423.03, 578.77 428.35, 492.60 436.13, 480.64 407.07, 473.97 377.91, 473.22 345.26, 477.05 318.24, 504.33 308.01, 584.75 300.23, 608.69 293.68, 606.77 258.48, 562.86 151.30, 560.82 146.33, 510.08 6.75, 507.47 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (733.04 565.37, 682.41 574.89, 617.30 591.67, 557.47 605.18, 525.87 597.81)"
AOI_4_Shanghai_img1920,"LINESTRING (576.38 1026.79, 599.83 1034.98, 638.61 1025.97, 695.09 1022.29, 749.18 1013.69, 804.71 1018.20, 875.08 1007.96, 910.50 999.49)"
AOI_4_Shanghai_img1920,"LINESTRING (576.38 1026.79, 596.00 1103.34, 820.03 1057.49)"
AOI_4_Shanghai_img1920,"LINESTRING (789.21 701.60, 716.87 718.16, 668.52 720.20, 588.27 738.76)"
AOI_4_Shanghai_img1920,"LINESTRING (833.86 809.52, 804.95 814.35, 750.38 827.86)"
AOI_4_Shanghai_img1920,"LINESTRING (959.30 1120.50, 844.44 1148.36, 791.79 1157.37, 755.01 1162.62, 776.95 1235.14)"
AOI_4_Shanghai_img1920,"LINESTRING (797.54 1300.00, 788.44 1274.85, 776.95 1235.14, 843.96 1217.13)"
AOI_4_Shanghai_img1920,"LINESTRING (882.51 928.48, 784.61 956.39, 691.26 974.81, 628.55 987.91, 609.88 977.26, 608.45 955.98, 651.05 937.56, 692.70 930.60, 711.25 925.69, 747.15 913.00, 844.68 883.12, 862.13 877.85)"
AOI_4_Shanghai_img1920,"LINESTRING (1300.00 644.90, 1260.19 574.89, 1190.30 429.17, 1171.15 337.48, 1164.70 299.17, 1161.58 265.44, 1151.05 236.79, 1107.01 238.43, 992.12 253.16, 946.17 257.25, 921.27 237.61, 917.44 201.59)"
AOI_4_Shanghai_img1700,"LINESTRING (428.51 1300.00, 763.01 809.04, 973.64 499.45, 1152.96 229.61, 1300.00 13.38)"
AOI_4_Shanghai_img1700,"LINESTRING (1300.00 112.69, 1198.64 265.98, 865.36 758.29, 607.37 1137.24, 499.43 1300.00)"
AOI_4_Shanghai_img1890,LINESTRING EMPTY
AOI_4_Shanghai_img144,"LINESTRING (0.00 248.97, 197.05 169.23, 216.81 161.93, 240.33 153.24, 545.25 40.55)"
AOI_4_Shanghai_img144,"LINESTRING (170.56 803.38, 122.42 749.87, 0.00 613.77)"
AOI_4_Shanghai_img144,"LINESTRING (0.00 782.35, 122.42 749.87)"
AOI_4_Shanghai_img144,"LINESTRING (206.36 846.62, 111.55 881.77, 0.00 910.08)"
AOI_4_Shanghai_img144,"LINESTRING (263.13 915.19, 158.94 949.42, 118.17 962.82, 13.12 991.58, 0.00 987.78)"
AOI_4_Shanghai_img144,"LINESTRING (1300.00 989.82, 984.03 1025.70, 773.19 1049.90, 523.47 1078.41, 399.91 1093.10, 271.16 1124.21, 101.80 1165.69, 63.78 1169.14, 37.86 1170.87, 0.00 1181.84)"
AOI_4_Shanghai_img144,"LINESTRING (0.00 1242.09, 431.29 1134.76)"
AOI_4_Shanghai_img144,"LINESTRING (0.00 1277.71, 126.86 1246.91, 269.43 1213.21, 343.74 1195.93, 455.64 1173.11, 545.94 1158.77, 650.49 1147.54, 741.22 1135.44, 775.78 1134.58, 806.02 1138.03, 838.86 1137.17, 928.72 1126.80, 985.75 1120.75, 1023.77 1112.11, 1081.67 1100.01, 1162.89 1090.51, 1300.00 1076.18)"
AOI_4_Shanghai_img144,"LINESTRING (216.81 161.93, 170.83 86.82, 153.49 52.40, 3.56 87.26)"
AOI_4_Shanghai_img144,"LINESTRING (454.72 1300.00, 415.23 1259.80, 373.93 1241.06, 331.60 1240.19, 262.75 1252.39, 127.03 1285.99, 99.05 1292.92, 70.81 1300.00)"
AOI_4_Shanghai_img144,"LINESTRING (127.03 1285.99, 132.65 1300.00)"
AOI_4_Shanghai_img144,"LINESTRING (135.00 916.63, 158.94 949.42, 196.20 986.79, 222.21 1029.49, 202.83 1047.36)"
AOI_4_Shanghai_img144,"LINESTRING (431.29 1134.76, 399.91 1093.10, 300.08 959.82, 263.13 915.19, 206.36 846.62, 170.56 803.38)"
AOI_4_Shanghai_img144,"LINESTRING (693.27 575.46, 562.91 630.97, 170.56 803.38)"
AOI_4_Shanghai_img144,"LINESTRING (240.33 153.24, 207.55 99.02, 201.94 29.74, 191.42 0.00)"
AOI_4_Shanghai_img144,"LINESTRING (431.29 1134.76, 455.64 1173.11, 536.21 1300.00)"
AOI_4_Shanghai_img144,"LINESTRING (431.29 1134.76, 713.46 1108.68, 1300.00 1035.90)"
AOI_4_Shanghai_img144,"LINESTRING (545.25 40.55, 524.22 15.32, 516.89 0.00)"
AOI_4_Shanghai_img144,"LINESTRING (545.25 40.55, 564.59 127.18, 616.74 320.62, 682.34 520.79, 693.27 575.46)"
AOI_4_Shanghai_img144,"LINESTRING (600.95 0.00, 591.43 4.79, 545.25 40.55)"
AOI_4_Shanghai_img144,"LINESTRING (545.25 40.55, 611.69 31.30, 742.50 0.00)"
AOI_4_Shanghai_img144,"LINESTRING (693.27 575.46, 964.09 577.98, 1300.00 577.98)"
AOI_4_Shanghai_img144,"LINESTRING (1300.00 1143.46, 1232.39 1150.74, 999.42 1176.39)"
AOI_4_Shanghai_img144,"LINESTRING (1300.00 1285.59, 1298.50 1286.82, 1250.24 1283.54, 1234.25 1282.46, 1190.39 1271.13, 1129.19 1277.23, 1080.74 1284.64, 1064.94 1298.15, 1063.97 1300.00)"
AOI_4_Shanghai_img144,"LINESTRING (1230.17 1300.00, 1245.47 1290.74, 1250.24 1283.54)"
AOI_4_Shanghai_img1887,"LINESTRING (0.00 341.82, 91.22 448.56, 124.51 494.80, 230.85 590.04)"
AOI_4_Shanghai_img1887,"LINESTRING (0.00 872.86, 125.43 778.68, 271.54 688.99, 278.93 669.57, 230.85 590.04, 272.37 541.11, 325.53 514.67, 351.62 501.20, 414.42 472.59, 440.76 460.59, 553.57 372.74, 465.72 246.98, 251.21 0.00)"
AOI_4_Shanghai_img1887,"LINESTRING (54.20 1300.00, 192.48 1213.06, 210.04 1137.23, 0.00 906.78)"
AOI_4_Shanghai_img1887,"LINESTRING (0.00 975.57, 8.46 979.80, 99.08 1077.82, 176.76 1169.37, 192.48 1213.06)"
AOI_4_Shanghai_img1887,"LINESTRING (271.54 688.99, 367.37 644.42, 403.38 612.65, 325.53 514.67, 240.26 401.86, 311.23 348.90, 193.12 204.84, 18.06 0.00)"
AOI_4_Shanghai_img1887,"LINESTRING (806.47 399.32, 777.35 425.91, 644.19 507.28, 305.75 724.59, 287.72 768.05, 216.98 818.44, 55.62 916.92, 187.85 1074.12, 215.59 1102.33, 282.63 1068.11)"
AOI_4_Shanghai_img1887,"LINESTRING (414.42 472.59, 311.23 348.90)"
AOI_4_Shanghai_img1887,"LINESTRING (346.54 1300.00, 210.04 1137.23, 251.19 1109.72, 339.04 1054.24, 471.27 976.57, 670.54 1205.89, 874.13 1078.25, 1027.48 982.11, 1010.83 935.88, 1179.13 831.16)"
AOI_4_Shanghai_img1887,"LINESTRING (461.18 0.00, 806.47 399.32)"
AOI_4_Shanghai_img1887,"LINESTRING (471.27 976.57, 670.54 847.11, 793.07 773.13, 830.52 758.34, 861.96 779.61, 881.37 811.51, 967.37 911.84, 1010.83 935.88)"
AOI_4_Shanghai_img1887,"LINESTRING (670.54 847.11, 788.13 980.61, 874.13 1078.25, 907.27 1132.84, 905.88 1148.56, 782.89 1227.16)"
AOI_4_Shanghai_img1887,"LINESTRING (1027.48 982.11, 1131.04 1098.63, 1130.12 1131.92, 1107.93 1157.81, 1074.17 1163.36, 1040.42 1184.16, 880.91 1282.18, 858.72 1294.66, 815.26 1265.07, 782.89 1227.16, 709.38 1265.07, 670.54 1205.89)"
AOI_4_Shanghai_img1887,"LINESTRING (967.37 911.84, 954.43 940.50, 907.27 960.85, 877.68 964.55, 847.16 951.60, 788.13 980.61)"
AOI_4_Shanghai_img1887,"LINESTRING (806.47 399.32, 1034.87 649.92, 1179.13 831.16, 1300.00 971.69)"
AOI_4_Shanghai_img1841,"LINESTRING (0.00 393.60, 93.80 571.00, 149.32 673.41, 278.54 860.06, 500.60 1088.83)"
AOI_4_Shanghai_img1841,"LINESTRING (0.00 505.40, 30.85 566.81, 58.60 647.13)"
AOI_4_Shanghai_img1841,"LINESTRING (126.31 1068.07, 0.00 1099.42)"
AOI_4_Shanghai_img1841,"LINESTRING (143.47 0.00, 162.69 10.25, 245.57 0.00)"
AOI_4_Shanghai_img1841,"LINESTRING (659.05 1283.59, 625.54 1271.72, 558.53 1219.33, 425.45 1088.37)"
AOI_4_Shanghai_img1841,"LINESTRING (722.51 1300.00, 686.66 1266.59, 639.90 1223.02, 500.60 1088.83)"
AOI_4_Shanghai_img1841,"LINESTRING (500.60 1088.83, 1119.98 689.86)"
AOI_4_Shanghai_img1841,"LINESTRING (686.66 1266.59, 659.05 1283.59, 673.01 1300.00)"
AOI_4_Shanghai_img1841,"LINESTRING (1195.42 182.69, 1036.25 0.00)"
AOI_4_Shanghai_img1841,"LINESTRING (1119.98 689.86, 1249.31 815.38)"
AOI_4_Shanghai_img1841,"LINESTRING (1300.00 579.19, 1119.98 689.86)"
AOI_4_Shanghai_img1841,"LINESTRING (1195.42 182.69, 1300.00 310.89)"
AOI_4_Shanghai_img1841,"LINESTRING (1300.00 118.87, 1195.42 182.69)"
AOI_4_Shanghai_img1841,"LINESTRING (1249.31 815.38, 1300.00 866.15)"
AOI_4_Shanghai_img1841,"LINESTRING (1249.31 815.38, 1300.00 783.58)"
AOI_4_Shanghai_img1227,LINESTRING EMPTY
AOI_4_Shanghai_img308,"LINESTRING (0.00 886.02, 104.18 768.53, 137.55 772.04, 300.92 847.58, 228.90 966.15, 161.27 985.47, 130.52 974.93, 82.22 1018.85)"
AOI_4_Shanghai_img308,"LINESTRING (291.28 1300.00, 167.41 1210.32, 122.18 1163.77, 111.64 1121.61, 0.00 1148.65)"
AOI_4_Shanghai_img308,"LINESTRING (152.96 1300.00, 154.12 1298.83, 122.62 1263.90)"
AOI_4_Shanghai_img308,"LINESTRING (154.12 1298.83, 173.56 1284.10, 196.73 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (300.92 847.58, 732.17 1080.33, 674.20 1185.73, 562.19 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (813.85 1080.33, 716.36 1213.84, 642.58 1299.91, 642.50 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (813.85 1080.33, 863.62 1102.84, 834.93 1185.73, 727.89 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (782.23 1300.00, 786.65 1295.55, 908.67 1172.66, 959.55 1175.43, 1158.42 922.19, 1300.00 771.04)"
AOI_4_Shanghai_img308,"LINESTRING (786.65 1295.55, 791.57 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (856.01 490.11, 1109.86 601.57, 813.85 1080.33)"
AOI_4_Shanghai_img308,"LINESTRING (845.36 1300.00, 906.14 1233.70, 959.55 1175.43, 1203.70 1294.24, 1300.00 1167.90)"
AOI_4_Shanghai_img308,"LINESTRING (1168.69 634.15, 964.65 958.99, 890.55 1075.28, 863.62 1102.84)"
AOI_4_Shanghai_img308,"LINESTRING (906.14 1233.70, 971.46 1257.26, 1046.53 1300.00)"
AOI_4_Shanghai_img308,"LINESTRING (995.28 327.57, 1300.00 468.91)"
AOI_4_Shanghai_img308,"LINESTRING (1215.89 1300.00, 1203.70 1294.24, 1199.28 1300.00)"
AOI_4_Shanghai_img1916,"LINESTRING (793.46 98.24, 743.68 116.25, 706.34 166.20, 653.68 224.33, 613.95 258.72, 576.14 279.60, 490.45 302.52, 372.21 333.23, 158.24 372.12, 0.00 408.61)"
AOI_4_Shanghai_img1916,"LINESTRING (793.46 98.24, 749.90 91.69, 671.40 37.65, 623.40 0.00)"
AOI_4_Shanghai_img1916,"LINESTRING (1300.00 47.67, 830.80 109.70, 793.46 98.24)"
AOI_4_Shanghai_img1916,"LINESTRING (1300.00 23.49, 1149.61 43.38, 827.93 85.14, 793.46 98.24)"
AOI_4_Shanghai_img1196,"LINESTRING (148.54 181.85, 0.00 218.22)"
AOI_4_Shanghai_img1196,"LINESTRING (0.00 468.15, 104.74 443.17)"
AOI_4_Shanghai_img1196,"LINESTRING (23.16 546.62, 0.00 549.51)"
AOI_4_Shanghai_img1196,"LINESTRING (0.00 962.37, 27.26 955.67, 127.34 932.17, 256.46 901.85, 323.57 885.70, 472.66 849.82, 522.14 837.71, 767.80 777.60, 1048.14 714.36, 1119.77 699.35, 1300.00 661.59)"
AOI_4_Shanghai_img1196,"LINESTRING (55.84 1300.00, 41.84 1274.73, 0.00 1204.27)"
AOI_4_Shanghai_img1196,"LINESTRING (0.00 1293.78, 26.48 1281.92, 41.84 1274.73)"
AOI_4_Shanghai_img1196,"LINESTRING (74.88 707.26, 60.56 662.79, 23.16 546.62)"
AOI_4_Shanghai_img1196,"LINESTRING (23.16 546.62, 119.04 517.18)"
AOI_4_Shanghai_img1196,"LINESTRING (60.56 662.79, 441.16 567.64)"
AOI_4_Shanghai_img1196,"LINESTRING (100.11 789.68, 132.91 773.70, 137.12 750.15, 113.99 715.67, 74.88 707.26)"
AOI_4_Shanghai_img1196,"LINESTRING (100.11 789.68, 52.17 776.22, 40.40 740.90, 74.88 707.26)"
AOI_4_Shanghai_img1196,"LINESTRING (91.00 0.00, 91.35 0.46, 148.54 181.85, 156.74 207.87)"
AOI_4_Shanghai_img1196,"LINESTRING (130.39 856.12, 109.36 818.27, 100.11 789.68)"
AOI_4_Shanghai_img1196,"LINESTRING (104.74 443.17, 102.21 468.40, 119.04 517.18)"
AOI_4_Shanghai_img1196,"LINESTRING (410.88 449.05, 388.17 396.07, 379.76 378.41, 104.74 443.17)"
AOI_4_Shanghai_img1196,"LINESTRING (119.04 517.18, 410.88 449.05)"
AOI_4_Shanghai_img1196,"LINESTRING (127.34 932.17, 130.39 856.12)"
AOI_4_Shanghai_img1196,"LINESTRING (508.02 769.49, 463.44 780.43, 130.39 856.12)"
AOI_4_Shanghai_img1196,"LINESTRING (351.16 948.03, 133.75 997.00, 102.63 1009.61, 89.18 1047.46, 151.42 1208.94, 204.40 1300.00)"
AOI_4_Shanghai_img1196,"LINESTRING (542.59 1038.00, 607.68 1182.53, 607.68 1209.33, 563.65 1223.69, 215.60 1300.00)"
AOI_4_Shanghai_img1196,"LINESTRING (323.57 885.70, 351.16 948.03, 469.84 928.88, 521.53 961.43, 542.59 1038.00)"
AOI_4_Shanghai_img1196,"LINESTRING (542.59 1038.00, 374.37 1086.93)"
AOI_4_Shanghai_img1196,"LINESTRING (379.76 378.41, 489.10 349.81, 963.00 243.81, 974.67 241.06, 970.02 223.30, 1211.71 154.99, 1247.26 144.95)"
AOI_4_Shanghai_img1196,"LINESTRING (410.88 449.05, 441.16 567.64)"
AOI_4_Shanghai_img1196,"LINESTRING (466.58 644.39, 629.12 605.39, 772.33 571.02, 796.92 565.12, 811.22 556.29, 807.43 530.64, 768.75 412.05, 754.87 372.52, 741.41 374.20, 410.88 449.05)"
AOI_4_Shanghai_img1196,"LINESTRING (508.02 769.49, 466.58 644.39, 441.16 567.64)"
AOI_4_Shanghai_img1196,"LINESTRING (508.02 769.49, 520.64 827.53, 522.14 837.71)"
AOI_4_Shanghai_img1196,"LINESTRING (508.02 769.49, 841.50 689.59, 836.45 639.13, 814.58 606.33, 787.25 606.33, 772.33 571.02)"
AOI_4_Shanghai_img1196,"LINESTRING (619.34 1047.49, 615.10 977.60, 688.86 961.34, 722.58 958.54, 759.49 977.23, 818.56 963.61, 1300.00 852.59)"
AOI_4_Shanghai_img1196,"LINESTRING (787.25 606.33, 653.10 639.97, 636.28 615.58, 629.12 605.39)"
AOI_4_Shanghai_img1196,"LINESTRING (688.86 961.34, 699.29 1013.60, 678.64 1030.02, 619.34 1047.49, 635.75 1102.02, 678.72 1226.57, 694.10 1270.05, 722.49 1282.11, 883.97 1241.32)"
AOI_4_Shanghai_img1196,"LINESTRING (818.56 963.61, 767.80 777.60)"
AOI_4_Shanghai_img1196,"LINESTRING (883.97 1241.32, 900.90 1300.00)"
AOI_4_Shanghai_img1196,"LINESTRING (1300.00 1147.93, 1100.96 1195.90, 883.97 1241.32)"
AOI_4_Shanghai_img1196,"LINESTRING (928.12 85.72, 903.73 58.18, 885.02 0.00)"
AOI_4_Shanghai_img1196,"LINESTRING (1015.81 376.45, 1061.88 519.55, 1119.77 699.35)"
AOI_4_Shanghai_img1196,"LINESTRING (1061.88 519.55, 1097.82 512.02, 1300.00 469.63)"
AOI_4_Shanghai_img1196,"LINESTRING (1300.00 522.57, 1125.77 564.66, 1107.58 548.17, 1098.28 513.49, 1097.82 512.02)"
AOI_4_Shanghai_img1196,"LINESTRING (1135.86 47.03, 1093.81 36.10, 1031.57 41.99, 943.26 71.42, 928.12 85.72, 935.69 100.02, 972.70 110.95, 1108.11 78.15, 1135.86 47.03)"
AOI_4_Shanghai_img1196,"LINESTRING (1191.73 27.92, 1135.86 47.03)"
AOI_4_Shanghai_img1196,"LINESTRING (1178.65 0.00, 1191.73 27.92, 1235.19 120.71, 1247.26 144.95, 1286.35 223.38, 1300.00 250.79)"
AOI_4_Shanghai_img1196,"LINESTRING (1211.71 154.99, 1290.19 326.92, 1300.00 357.46)"
AOI_4_Shanghai_img1196,"LINESTRING (1300.00 64.04, 1268.18 0.00)"
AOI_4_Shanghai_img1196,"LINESTRING (1286.35 223.38, 1300.00 218.28)"
